name,image,html,player_name,nba_id
GorguiDieng,https://cdn.nba.com/headshots/nba/latest/260x190/203476.png,/player/203476/gorgui-dieng/,gorgui dieng,203476
OusmaneDieng,https://cdn.nba.com/headshots/nba/latest/260x190/1631172.png,/player/1631172/ousmane-dieng/,ousmane dieng,1631172
SpencerDinwiddie,https://cdn.nba.com/headshots/nba/latest/260x190/203915.png,/player/203915/spencer-dinwiddie/,spencer dinwiddie,203915
LukaDoncic,https://cdn.nba.com/headshots/nba/latest/260x190/1629029.png,/player/1629029/luka-doncic/,luka doncic,1629029
TylerDorsey,https://cdn.nba.com/headshots/nba/latest/260x190/1628416.png,/player/1628416/tyler-dorsey/,tyler dorsey,1628416
LuguentzDort,https://cdn.nba.com/headshots/nba/latest/260x190/1629652.png,/player/1629652/luguentz-dort/,luguentz dort,1629652
AyoDosunmu,https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png,/player/1630245/ayo-dosunmu/,ayo dosunmu,1630245
DevonDotson,https://cdn.nba.com/headshots/nba/latest/260x190/1629653.png,/player/1629653/devon-dotson/,devon dotson,1629653
JeffDowtin Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630288.png,/player/1630288/jeff-dowtin-jr/,jeff dowtin jr,1630288
PJDozier,https://cdn.nba.com/headshots/nba/latest/260x190/1628408.png,/player/1628408/pj-dozier/,pj dozier,1628408
GoranDragic,https://cdn.nba.com/headshots/nba/latest/260x190/201609.png,/player/201609/goran-dragic/,goran dragic,201609
AndreDrummond,https://cdn.nba.com/headshots/nba/latest/260x190/203083.png,/player/203083/andre-drummond/,andre drummond,203083
ChrisDuarte,https://cdn.nba.com/headshots/nba/latest/260x190/1630537.png,/player/1630537/chris-duarte/,chris duarte,1630537
DavidDuke Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630561.png,/player/1630561/david-duke-jr/,david duke jr,1630561
KevinDurant,https://cdn.nba.com/headshots/nba/latest/260x190/201142.png,/player/201142/kevin-durant/,kevin durant,201142
JalenDuren,https://cdn.nba.com/headshots/nba/latest/260x190/1631105.png,/player/1631105/jalen-duren/,jalen duren,1631105
TariEason,https://cdn.nba.com/headshots/nba/latest/260x190/1631106.png,/player/1631106/tari-eason/,tari eason,1631106
AnthonyEdwards,https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png,/player/1630162/anthony-edwards/,anthony edwards,1630162
KesslerEdwards,https://cdn.nba.com/headshots/nba/latest/260x190/1630556.png,/player/1630556/kessler-edwards/,kessler edwards,1630556
KeonEllis,https://cdn.nba.com/headshots/nba/latest/260x190/1631165.png,/player/1631165/keon-ellis/,keon ellis,1631165
JoelEmbiid,https://cdn.nba.com/headshots/nba/latest/260x190/203954.png,/player/203954/joel-embiid/,joel embiid,203954
DrewEubanks,https://cdn.nba.com/headshots/nba/latest/260x190/1629234.png,/player/1629234/drew-eubanks/,drew eubanks,1629234
BrunoFernando,https://cdn.nba.com/headshots/nba/latest/260x190/1628981.png,/player/1628981/bruno-fernando/,bruno fernando,1628981
DorianFinney-Smith,https://cdn.nba.com/headshots/nba/latest/260x190/1627827.png,/player/1627827/dorian-finney-smith/,dorian finney smith,1627827
MalachiFlynn,https://cdn.nba.com/headshots/nba/latest/260x190/1630201.png,/player/1630201/malachi-flynn/,malachi flynn,1630201
SimoneFontecchio,https://cdn.nba.com/headshots/nba/latest/260x190/1631323.png,/player/1631323/simone-fontecchio/,simone fontecchio,1631323
BrynForbes,https://cdn.nba.com/headshots/nba/latest/260x190/1627854.png,/player/1627854/bryn-forbes/,bryn forbes,1627854
TrentForrest,https://cdn.nba.com/headshots/nba/latest/260x190/1630235.png,/player/1630235/trent-forrest/,trent forrest,1630235
MichaelFoster Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1630701.png,/player/1630701/michael-foster-jr/,michael foster jr,1630701
EvanFournier,https://cdn.nba.com/headshots/nba/latest/260x190/203095.png,/player/203095/evan-fournier/,evan fournier,203095
De'AaronFox,https://cdn.nba.com/headshots/nba/latest/260x190/1628368.png,/player/1628368/deaaron-fox/,deaaron fox,1628368
MarkelleFultz,https://cdn.nba.com/headshots/nba/latest/260x190/1628365.png,/player/1628365/markelle-fultz/,markelle fultz,1628365
WenyenGabriel,https://cdn.nba.com/headshots/nba/latest/260x190/1629117.png,/player/1629117/wenyen-gabriel/,wenyen gabriel,1629117
DanielGafford,https://cdn.nba.com/headshots/nba/latest/260x190/1629655.png,/player/1629655/daniel-gafford/,daniel gafford,1629655
DaniloGallinari,https://cdn.nba.com/headshots/nba/latest/260x190/201568.png,/player/201568/danilo-gallinari/,danilo gallinari,201568
DariusGarland,https://cdn.nba.com/headshots/nba/latest/260x190/1629636.png,/player/1629636/darius-garland/,darius garland,1629636
UsmanGaruba,https://cdn.nba.com/headshots/nba/latest/260x190/1630586.png,/player/1630586/usman-garuba/,usman garuba,1630586
