,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
238,Joe Wieskamp,TOR,23,3.5,6.5,53.8,0.0,0.5,0.0,1.0,1.5,66.7,0.0,1.0,0.0,1.5,3.5,42.9,1.5,5.0,30.0
239,Joel Embiid,PHI,28,12.5,19.3,64.7,3.1,7.2,43.6,2.2,5.3,41.5,2.3,5.2,44.0,2.8,7.8,36.4,5.5,16.6,32.9
240,John Butler Jr.,POR,20,1.1,2.0,56.3,0.3,0.9,33.3,0.3,0.3,100,0.6,1.4,42.9,0.3,0.8,40.0,0.2,1.2,18.2
241,John Collins,ATL,25,13.5,20.8,65.2,2.5,5.8,43.9,2.6,5.6,45.7,1.9,4.0,47.5,3.1,9.1,34.4,4.4,13.0,33.7
242,John Konchar,MEM,26,8.9,15.0,59.6,1.6,4.7,34.2,1.3,3.3,39.2,0.9,2.1,40.2,2.3,6.1,38.4,3.6,10.5,34.2
243,John Wall,LAC,32,8.8,13.6,64.9,1.9,5.3,35.9,1.6,3.4,45.3,1.0,2.4,41.3,2.2,6.1,36.1,3.6,10.2,35.6
244,Johnny Davis,WAS,20,1.4,1.9,72.0,0.3,0.8,36.4,0.2,0.5,40.0,0.2,0.5,33.3,0.2,0.7,33.3,0.6,2.4,25.8
245,Jonas Valanciunas,NOP,30,9.6,14.2,67.9,2.4,5.2,45.9,1.6,3.8,41.9,1.3,2.9,44.2,2.7,7.7,35.7,3.9,11.3,34.3
246,Jonathan Isaac,ORL,25,3.4,5.0,67.3,0.8,2.2,37.5,1.2,2.1,56.5,0.5,1.5,33.3,0.9,3.5,26.3,2.6,5.0,52.7
247,Jonathan Kuminga,GSW,20,6.7,10.3,65.4,2.7,5.8,46.3,1.3,2.9,43.7,1.0,1.9,54.0,1.9,5.1,36.0,3.4,8.7,38.9
248,Jordan Clarkson,UTA,30,13.9,22.4,62.1,3.6,8.1,44.3,2.4,5.2,45.4,1.5,3.6,42.5,3.7,9.1,40.5,4.5,12.7,35.5
249,Jordan Goodwin,WAS,24,6.7,11.0,60.9,1.9,4.8,39.0,1.0,2.2,47.6,1.3,2.6,48.5,1.2,3.4,35.7,3.2,9.1,35.4
250,Jordan Hall,SAS,21,3.8,5.8,65.4,1.0,1.4,69.2,0.0,1.0,0.0,0.4,1.3,30.0,1.0,2.3,42.9,1.6,3.6,43.8
251,Jordan McLaughlin,MIN,26,5.6,9.1,61.9,1.0,3.3,28.8,1.6,3.0,52.2,0.6,1.5,40.6,2.0,5.2,39.2,1.7,5.4,31.5
252,Jordan Nwora,IND,24,6.1,9.4,65.6,1.6,3.7,43.7,1.6,3.4,46.4,1.1,2.5,43.3,1.0,2.9,33.3,2.8,7.5,36.9
253,Jordan Poole,GSW,23,10.5,16.3,64.2,4.8,10.0,47.8,2.0,4.5,44.2,1.5,3.6,42.0,3.1,8.2,38.0,5.0,14.2,35.1
254,Jordan Schakel,WAS,24,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
255,Jose Alvarado,NOP,24,8.6,12.4,69.1,1.6,4.1,39.8,1.2,2.9,40.8,1.1,2.5,44.3,2.2,6.3,35.5,3.3,9.8,33.3
256,Josh Christopher,HOU,21,4.3,6.3,67.6,0.8,2.2,37.6,0.6,1.1,51.2,0.6,1.3,47.5,1.3,2.9,42.9,1.9,5.2,37.6
257,Josh Giddey,OKC,20,13.4,21.4,62.5,2.7,6.2,43.2,1.8,3.7,49.0,1.3,3.1,43.6,3.5,9.5,37.3,4.6,12.9,35.7
258,Josh Green,DAL,22,8.9,13.4,66.8,2.4,4.9,49.5,1.7,3.8,43.9,1.3,3.2,41.5,3.0,7.8,37.9,3.0,8.8,34.7
259,Josh Hart,NYK,27,14.3,22.5,63.6,2.9,6.6,44.8,1.8,4.5,39.2,1.8,4.2,44.3,3.0,8.2,36.2,4.8,13.4,35.6
260,Josh Minott,MIN,20,2.8,4.7,59.6,0.9,2.5,35.0,0.0,0.5,0.0,1.0,1.9,53.8,0.6,2.6,21.7,1.0,2.5,40.7
261,Josh Okogie,PHX,24,5.6,9.2,61.0,1.4,3.3,41.2,1.3,2.7,47.2,0.7,1.7,42.7,1.4,3.9,35.1,1.9,6.1,31.0
262,Josh Richardson,NOP,29,10.5,16.0,65.2,2.4,5.1,46.3,1.5,3.8,40.8,1.6,3.2,51.0,2.6,6.2,41.4,3.6,10.0,36.3
263,Joshua Primo,SAS,20,9.8,17.8,54.9,1.3,3.5,35.7,1.8,3.0,58.3,1.0,2.0,50.0,3.3,6.0,54.2,3.3,11.3,28.9
264,Jrue Holiday,MIL,32,11.1,18.3,60.4,2.9,7.1,40.8,3.4,7.4,46.2,2.5,5.7,43.1,2.4,7.7,31.5,6.0,16.4,36.4
265,Juan Toscano-Anderson,UTA,29,4.9,8.0,61.4,1.0,2.7,38.6,1.2,2.6,45.6,1.1,2.0,56.1,1.4,3.8,36.0,2.4,6.5,36.3
266,Juancho Hernangomez,TOR,27,5.9,8.3,70.6,1.4,2.7,51.4,1.1,1.9,55.8,0.7,1.6,44.4,1.8,5.2,35.8,2.3,6.5,34.6
267,Julian Champagnie,SAS,21,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,2.0,2.0,100,1.0,3.0,33.3
268,Julius Randle,NYK,28,13.2,20.9,63.3,2.6,5.8,44.7,2.5,5.3,47.6,1.8,4.2,42.1,4.5,12.0,37.5,5.3,15.8,33.6
269,Justin Champagnie,TOR,21,1.3,1.7,80.0,0.5,0.5,100,0.7,1.0,66.7,0.0,0.3,0.0,0.5,1.0,50.0,0.7,1.7,40.0
270,Justin Holiday,DAL,33,6.2,10.0,62.3,1.2,3.0,40.7,1.1,2.5,45.3,0.6,1.4,42.9,1.2,3.8,31.8,2.4,6.6,36.1
271,Justin Jackson,BOS,27,1.4,2.6,51.7,0.5,1.6,32.3,0.4,1.1,38.9,1.2,1.7,70.8,0.7,1.7,40.0,0.8,2.4,33.3
272,Justise Winslow,POR,26,10.5,17.7,59.4,1.9,4.4,43.0,1.6,3.4,45.5,1.2,2.9,43.4,3.0,7.9,38.4,3.8,11.2,34.0
273,Jusuf Nurkic,POR,28,11.7,18.4,63.8,2.1,5.1,40.3,1.6,4.3,37.4,1.6,3.6,44.7,2.8,7.3,37.7,4.1,10.9,37.7
274,KZ Okpala,SAC,23,3.0,5.0,59.6,1.0,2.0,52.5,0.4,1.5,29.3,0.8,1.8,46.2,1.1,2.8,38.0,0.9,2.9,30.4
