,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
466,Tobias Harris,PHI,30,12.2,17.9,68.5,4.3,10.9,39.8,3.5,7.9,44.2,1.0,2.9,33.5,0.9,2.4,39.2,1.9,5.3,36.1,5.7,16.9,33.8
467,Tony Bradley,CHI,25,0.8,1.6,50.0,0.8,1.1,70.0,0.1,0.6,16.7,0.3,0.5,50.0,0.1,0.6,25.0,0.2,0.6,33.3,0.7,2.0,33.3
468,Torrey Craig,PHX,32,9.3,13.8,67.5,4.2,9.3,44.6,2.6,6.1,42.3,0.9,2.1,44.1,0.7,1.7,39.4,1.5,3.7,42.0,5.1,13.9,36.4
469,Trae Young,ATL,24,14.5,22.4,65.0,5.4,12.3,44.1,3.5,8.2,43.5,1.3,3.2,39.4,0.9,2.9,31.6,2.2,6.1,35.7,6.2,17.7,34.9
470,Tre Jones,SAS,23,12.8,18.9,67.9,4.5,9.9,45.4,3.4,7.3,46.8,0.9,2.3,40.5,0.8,2.0,40.8,1.7,4.2,40.6,5.8,14.4,39.9
471,Tre Mann,OKC,22,6.9,11.2,62.1,2.9,6.7,43.8,1.1,2.6,40.0,0.8,2.1,36.2,0.6,1.8,34.1,1.3,3.8,35.2,3.0,8.5,35.4
472,Trendon Watford,POR,22,6.7,9.6,69.5,2.2,4.7,46.4,1.1,3.0,38.0,0.6,1.6,37.9,0.8,1.8,40.9,1.3,3.2,39.5,3.1,9.0,34.4
473,Trent Forrest,ATL,24,4.7,6.9,67.7,1.8,4.1,43.5,1.8,3.4,52.5,0.7,1.4,50.0,0.7,1.5,45.5,1.1,2.3,47.6,2.6,7.6,33.6
474,Trevelin Queen,IND,25,2.3,3.9,59.3,1.6,3.3,47.8,0.7,1.5,44.4,0.4,2.0,20.0,0.5,0.5,100,0.7,2.0,33.3,2.3,5.6,41.0
475,Trevor Hudgins,HOU,23,2.3,3.0,77.8,0.6,1.4,42.9,0.6,0.8,75.0,0.3,0.3,100,0.3,0.7,50.0,0.5,0.8,66.7,0.8,3.4,23.5
476,Trevor Keels,NYK,19,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,1.0,0.0
477,Trey Lyles,SAC,27,5.8,8.5,68.2,2.9,6.2,46.5,1.3,3.5,38.8,0.6,1.5,41.9,0.9,1.8,51.2,1.4,3.0,46.8,3.0,8.2,36.8
478,Trey Murphy III,NOP,22,11.1,15.9,70.1,4.6,9.9,46.6,2.4,6.1,39.9,1.1,2.7,39.1,0.9,2.5,37.6,2.0,5.1,38.4,5.5,16.2,33.6
479,Troy Brown Jr.,LAL,23,9.4,13.9,68.0,4.1,9.5,43.6,2.5,5.5,45.8,0.8,2.2,37.7,0.8,2.0,37.5,1.5,4.0,37.6,4.4,13.3,33.1
480,Ty Jerome,GSW,25,5.4,7.6,71.6,4.0,8.6,46.5,1.8,4.0,44.7,0.5,1.7,30.5,0.6,1.5,39.2,1.1,3.1,34.5,4.1,9.8,41.7
481,TyTy Washington Jr.,HOU,21,4.1,5.7,71.8,1.8,4.5,38.9,0.9,2.2,42.3,0.7,1.9,34.2,0.4,1.2,34.6,0.9,2.7,34.4,3.5,9.0,38.9
482,Tyler Dorsey,DAL,27,0.7,1.0,66.7,0.0,0.5,0.0,0.5,2.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,1.5,33.3
483,Tyler Herro,MIA,23,11.3,16.3,69.1,5.6,11.5,48.7,2.6,6.7,38.6,1.6,3.7,43.5,1.3,3.3,39.5,2.9,7.0,41.6,6.3,18.0,34.9
484,Tyrese Haliburton,IND,22,13.0,20.3,63.8,5.1,10.9,46.6,3.1,7.8,40.4,1.2,3.4,34.7,1.1,2.6,43.3,2.3,6.0,38.4,6.1,16.6,37.0
485,Tyrese Martin,ATL,23,1.8,2.1,84.0,0.8,1.4,52.9,0.2,0.9,25.0,0.3,0.7,50.0,0.2,0.7,25.0,0.3,0.8,37.5,0.5,1.9,26.1
486,Tyrese Maxey,PHI,22,12.2,17.7,69.1,4.2,10.0,41.6,3.5,7.9,44.0,0.8,2.6,30.4,0.8,2.4,33.3,1.6,5.0,31.8,5.7,16.5,34.7
487,Tyus Jones,MEM,26,8.6,13.3,64.5,3.0,7.5,39.5,1.8,4.2,41.9,0.7,1.7,44.8,0.8,1.8,42.6,1.4,3.3,43.7,4.9,14.4,34.5
488,Udoka Azubuike,UTA,23,1.8,2.7,67.2,1.0,2.5,37.9,0.8,2.0,40.0,0.3,0.7,36.4,0.4,0.8,50.0,0.5,1.2,42.9,1.0,3.0,34.2
489,Udonis Haslem,MIA,42,3.7,5.0,73.3,0.7,1.5,44.4,0.7,1.2,57.1,1.0,1.4,71.4,0.5,1.5,33.3,1.4,2.6,53.8,1.2,2.8,41.2
490,Usman Garuba,HOU,20,4.9,6.9,71.4,1.8,4.2,43.4,1.0,2.4,40.9,0.7,1.7,39.7,0.4,1.3,33.3,1.0,2.7,37.0,3.0,8.4,35.1
491,Vernon Carey Jr.,WAS,21,0.9,1.3,66.7,0.1,1.2,8.3,0.1,0.3,50.0,0.0,0.0,0.0,0.5,0.5,100,0.2,0.2,100,0.3,1.1,25.0
492,Victor Oladipo,MIA,30,7.2,11.1,64.8,4.8,9.0,53.1,2.2,5.7,38.6,1.3,2.9,44.2,1.1,3.1,36.5,2.4,6.0,40.1,5.5,14.9,37.1
493,Vince Williams Jr.,MEM,22,1.9,2.9,65.4,0.7,1.4,46.2,0.7,1.1,60.0,0.0,0.6,0.0,0.5,0.7,75.0,0.4,1.0,42.9,0.8,2.4,31.6
494,Vit Krejci,ATL,22,2.6,3.8,68.4,1.0,1.8,54.3,0.4,0.9,41.2,0.5,1.2,40.0,0.5,1.0,45.5,0.6,1.4,42.3,0.8,2.5,30.8
