,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
257,Shaedon Sharpe,POR,19,58,52,28.3,0.8,1.9,42.3,63.1,1.3,0.0,0.1,22.2,27.0,0.8,1.8,43.2
258,Tari Eason,HOU,21,59,51,25.2,0.6,1.9,33.9,50.9,0.9,0.0,0.1,0.0,24.3,0.6,1.8,35.0
259,Thomas Bryant,DEN,25,46,36,27.3,0.9,1.9,49.4,61.5,11.9,0.5,0.8,57.8,15.4,0.5,1.1,43.0
260,Miles McBride,NYK,22,48,36,54.9,0.6,1.9,31.1,45.6,2.4,0.0,0.1,50.0,52.4,0.5,1.8,30.2
261,Simone Fontecchio,UTA,27,33,28,51.7,0.6,1.9,30.6,46.0,0.8,0.0,0.0,0.0,50.8,0.6,1.9,31.4
262,Goran Dragic,CHI,36,50,44,31.1,0.8,1.8,42.4,63.6,0.7,0.0,0.0,0.0,30.4,0.8,1.8,43.3
263,Jalen Brunson,NYK,26,58,51,10.4,0.8,1.8,44.3,65.6,0.2,0.0,0.0,100,10.2,0.8,1.8,43.6
264,Malachi Flynn,TOR,24,42,33,39.1,0.7,1.8,40.3,60.4,0.0,0.0,0.0,-,39.1,0.7,1.8,40.4
265,P.J. Tucker,PHI,37,57,46,61.9,0.8,1.8,43.3,62.5,4.8,0.1,0.1,64.3,57.1,0.7,1.7,41.7
266,Luka Garza,MIN,24,22,18,39.6,0.7,1.8,37.5,53.8,4.0,0.1,0.2,50.0,35.6,0.6,1.6,36.0
267,Jake LaRavia,MEM,21,31,23,64.4,0.7,1.8,35.7,53.6,0.0,0.0,0.0,-,64.4,0.7,1.8,35.9
268,T.J. Warren,PHX,29,28,24,24.4,0.8,1.8,42.0,58.0,3.4,0.2,0.3,72.0,21.0,0.6,1.5,37.0
269,Admiral Schofield,ORL,25,28,22,54.3,0.6,1.8,36.0,54.0,0.0,0.0,0.0,-,54.3,0.6,1.8,35.8
270,Tyrese Haliburton,IND,22,50,37,12.0,0.7,1.8,39.3,59.0,0.0,0.0,0.0,-,12.0,0.7,1.8,39.3
271,Aaron Gordon,DEN,27,49,38,15.8,0.7,1.8,36.8,52.9,2.2,0.1,0.2,33.3,13.6,0.6,1.5,37.3
272,Evan Mobley,CLE,21,61,47,15.0,0.4,1.8,25.0,31.9,4.6,0.2,0.5,37.0,10.4,0.3,1.2,20.3
273,Justise Winslow,POR,26,29,21,25.8,0.5,1.8,29.4,43.1,3.5,0.0,0.2,12.5,22.2,0.5,1.5,31.6
274,Terance Mann,LAC,26,61,50,26.0,0.7,1.8,39.3,58.9,0.2,0.0,0.0,0.0,25.8,0.7,1.7,39.7
275,Josh Okogie,PHX,24,51,35,34.9,0.6,1.8,36.0,53.9,0.4,0.0,0.0,0.0,34.5,0.6,1.7,36.4
276,Max Christie,LAL,20,35,25,58.3,0.7,1.7,40.0,60.0,1.0,0.0,0.0,0.0,57.3,0.7,1.7,40.8
277,James Harden,PHI,33,43,34,11.6,0.8,1.7,47.9,71.2,0.2,0.0,0.0,100,11.5,0.8,1.7,47.3
278,Shake Milton,PHI,26,55,43,24.7,0.7,1.7,40.9,59.1,1.1,0.1,0.1,100,23.7,0.6,1.6,38.3
279,Davion Mitchell,SAC,24,58,48,34.0,0.6,1.7,35.7,53.6,0.0,0.0,0.0,-,34.0,0.6,1.7,35.5
280,Jeff Green,DEN,36,39,30,27.4,0.5,1.7,27.3,38.6,2.9,0.1,0.2,44.4,24.5,0.4,1.5,25.2
281,Daishen Nix,HOU,21,42,32,46.4,0.5,1.7,26.8,40.1,0.7,0.0,0.0,0.0,45.8,0.5,1.7,26.9
282,Gorgui Dieng,SAS,33,21,15,56.5,0.6,1.7,34.3,48.6,6.5,0.1,0.2,52.6,50.0,0.5,1.5,32.4
283,Tre Mann,OKC,22,53,41,21.2,0.6,1.7,33.0,48.9,0.2,0.0,0.0,100,20.9,0.5,1.6,32.3
284,Ja Morant,MEM,23,50,40,7.9,0.6,1.6,35.4,52.4,0.2,0.0,0.0,50.0,7.7,0.6,1.6,35.0
285,Dennis Smith Jr.,CHA,25,40,32,20.4,0.5,1.6,27.7,40.8,0.3,0.0,0.0,100,20.1,0.4,1.6,26.9
286,Aaron Wiggins,OKC,24,47,33,33.6,0.6,1.6,39.5,59.2,0.4,0.0,0.0,0.0,33.2,0.6,1.6,40.0
287,Rodney McGruder,DET,31,21,15,59.6,0.6,1.6,38.2,57.4,0.0,0.0,0.0,-,59.6,0.6,1.6,38.3
288,Collin Sexton,UTA,24,47,39,16.7,0.6,1.6,38.2,55.9,0.7,0.0,0.1,66.7,16.0,0.6,1.6,36.8
289,Delon Wright,WAS,30,30,25,30.6,0.5,1.6,31.3,45.8,1.3,0.0,0.1,42.9,29.3,0.5,1.5,30.7
290,Talen Horton-Tucker,UTA,22,48,37,22.6,0.4,1.6,26.0,39.0,0.6,0.0,0.0,0.0,22.1,0.4,1.6,26.9
291,Blake Griffin,BOS,33,26,18,44.6,0.7,1.6,43.9,65.9,1.1,0.0,0.0,0.0,43.5,0.7,1.5,44.8
292,Marvin Bagley III,DET,23,26,20,18.9,0.5,1.6,34.1,43.9,5.5,0.2,0.5,50.0,13.4,0.3,1.1,27.7
293,TyTy Washington Jr.,HOU,21,24,19,30.9,0.3,1.6,18.4,27.6,0.0,0.0,0.0,-,30.9,0.3,1.6,18.4
294,Keita Bates-Diop,SAS,27,46,34,24.3,0.6,1.6,37.5,56.3,0.3,0.0,0.0,0.0,24.0,0.6,1.5,38.3
295,Juancho Hernangomez,TOR,27,41,29,56.6,0.4,1.6,26.6,39.8,0.9,0.0,0.0,0.0,55.8,0.4,1.5,26.6
296,Jock Landale,PHX,27,52,39,32.3,0.4,1.6,25.9,36.4,4.0,0.1,0.2,42.1,28.3,0.3,1.4,24.1
297,Jordan Hall,SAS,21,9,8,50.0,0.2,1.6,14.3,17.9,7.1,0.1,0.2,50.0,42.9,0.1,1.3,8.3
298,George Hill,IND,36,36,25,41.7,0.6,1.5,38.2,56.4,0.8,0.0,0.0,100,40.9,0.6,1.5,37.3
299,Edmond Sumner,BKN,27,46,34,28.5,0.5,1.5,35.7,52.9,0.4,0.0,0.0,100,28.0,0.5,1.5,34.7
300,Lamar Stevens,CLE,25,44,34,33.8,0.5,1.5,31.3,46.3,1.5,0.0,0.1,28.6,32.3,0.5,1.4,31.0
301,Nickeil Alexander-Walker,MIN,24,39,25,32.4,0.7,1.5,44.1,66.1,0.0,0.0,0.0,-,32.4,0.7,1.5,44.4
302,Jaden Hardy,DAL,20,32,20,29.4,0.6,1.5,37.5,56.3,0.0,0.0,0.0,-,29.4,0.6,1.5,37.3
303,Ty Jerome,GSW,25,38,26,26.0,0.6,1.5,39.3,58.9,0.0,0.0,0.0,-,26.0,0.6,1.5,39.5
304,James Bouknight,CHA,22,26,17,32.5,0.3,1.5,21.1,31.6,0.9,0.0,0.0,0.0,31.6,0.3,1.4,21.8
305,R.J. Hampton,DET,22,27,17,34.2,0.5,1.4,35.9,53.8,0.9,0.0,0.0,0.0,33.3,0.5,1.4,36.9
306,Cody Martin,CHA,27,7,5,27.8,0.6,1.4,40.0,55.0,2.8,0.1,0.1,100,25.0,0.4,1.3,33.3
307,Trae Young,ATL,24,53,38,7.3,0.5,1.4,35.5,53.3,0.4,0.0,0.1,0.0,6.9,0.5,1.4,37.5
