,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
105,De'Andre Hunter,ATL,25,1.3,2.1,60.8,1.1,2.6,44.1,1.5,3.2,48.6,0.4,1.2,36.4,0.3,0.7,38.7,0.7,1.9,37.2,0.9,2.5,35.0
106,De'Anthony Melton,PHI,24,1.2,2.2,54.5,0.3,1.0,34.7,0.2,0.5,38.5,0.2,0.7,30.6,0.3,0.8,40.5,0.5,1.5,35.9,1.7,4.0,42.2
107,DeAndre Jordan,DEN,34,2.1,2.6,80.0,0.0,0.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
108,DeMar DeRozan,CHI,33,2.6,3.6,71.2,1.7,3.5,47.5,4.5,9.5,47.2,0.1,0.5,30.4,0.0,0.1,33.3,0.2,0.5,30.8,0.3,1.0,34.0
109,Dean Wade,CLE,26,0.7,0.9,80.0,0.0,0.3,14.3,0.0,0.1,0.0,0.4,0.9,47.4,0.3,0.7,47.1,0.7,1.4,47.2,0.7,1.7,38.3
110,Deandre Ayton,PHX,24,4.1,5.3,79.0,2.7,5.5,49.6,1.0,2.5,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,30.4
111,Dejounte Murray,ATL,26,1.9,3.0,64.5,2.1,4.6,46.2,2.3,4.9,46.8,0.5,0.9,56.8,0.2,0.5,30.8,0.6,1.4,47.1,1.4,4.3,33.3
112,Delon Wright,WAS,30,0.7,1.0,65.4,0.6,1.4,44.4,0.2,0.3,50.0,0.2,0.4,40.0,0.0,0.3,16.7,0.2,0.6,31.3,0.4,1.6,26.8
113,Deni Avdija,WAS,22,1.9,2.8,66.9,0.4,1.4,29.6,0.0,0.3,15.4,0.1,0.4,38.9,0.1,0.4,27.8,0.2,0.7,33.3,0.7,2.4,29.3
114,Dennis Schroder,LAL,29,1.1,2.3,49.5,0.9,2.1,44.3,0.8,1.8,45.3,0.3,0.7,39.3,0.1,0.3,38.5,0.4,1.0,39.0,0.8,2.5,31.8
