,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
174,Isaac Okoro,CLE,22,1.3,2.0,66.9,0.1,0.4,34.8,0.0,0.0,66.7,0.0,0.0,0.0,0.7,2.0,36.0,0.0,0.2,21.4
175,Isaiah Hartenstein,NYK,24,1.5,2.5,60.1,0.3,0.5,55.9,0.2,0.5,43.8,0.0,0.0,0.0,0.1,0.4,30.8,0.0,0.1,0.0
176,Isaiah Jackson,IND,21,2.3,3.4,66.5,0.1,0.5,25.0,0.0,0.2,14.3,0.1,0.2,85.7,0.0,0.1,20.0,0.0,0.2,12.5
177,Isaiah Joe,OKC,23,0.3,0.4,71.4,0.0,0.1,0.0,0.1,0.2,62.5,0.3,0.4,63.2,0.8,1.5,52.1,1.5,3.5,42.0
178,Isaiah Livers,DET,24,0.3,0.5,72.2,0.0,0.1,50.0,0.1,0.2,50.0,0.1,0.3,30.8,0.7,1.8,38.9,0.6,1.6,38.7
179,Isaiah Mobley,CLE,23,0.1,0.3,50.0,0.4,0.6,66.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,100,0.0,0.1,0.0
180,Isaiah Roby,SAS,25,0.8,1.3,60.7,0.3,0.7,42.9,0.0,0.1,25.0,0.1,0.2,33.3,0.2,0.5,35.0,0.3,1.0,26.8
181,Isaiah Stewart,DET,21,2.0,3.7,54.6,0.4,0.8,47.5,0.0,0.1,66.7,0.1,0.1,85.7,0.7,1.8,36.3,0.7,2.3,29.8
182,Isaiah Todd,WAS,21,0.0,0.0,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0
183,Ish Smith,DEN,34,0.4,0.8,54.2,0.1,0.1,50.0,0.2,0.9,23.8,0.7,1.4,46.3,0.1,0.2,50.0,0.0,0.1,0.0
184,Ish Wainright,PHX,28,0.5,0.8,57.1,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.7,35.6,0.4,1.1,34.0
185,Ivica Zubac,LAC,25,3.3,5.1,65.1,0.7,1.3,52.7,0.1,0.1,37.5,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
186,JD Davison,BOS,20,0.2,0.2,100.0,0.0,0.5,0.0,0.0,0.7,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.6,0.0
187,JT Thor,CHA,20,0.4,0.7,51.5,0.2,0.3,64.3,0.0,0.2,20.0,0.0,0.0,0.0,0.3,0.8,36.1,0.0,0.5,8.0
188,Ja Morant,MEM,23,5.0,8.3,59.5,1.4,3.6,38.0,1.3,2.8,46.0,0.2,0.6,32.3,0.5,1.2,44.3,1.1,3.6,30.2
189,JaMychal Green,GSW,32,1.6,2.3,70.0,0.1,0.2,50.0,0.1,0.1,50.0,0.0,0.1,0.0,0.3,0.9,31.4,0.4,1.1,37.8
190,JaVale McGee,DAL,35,1.4,2.0,70.4,0.3,0.8,40.7,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,50.0
191,Jabari Smith Jr.,HOU,19,1.4,2.2,63.4,0.4,1.1,35.9,0.4,0.9,40.0,0.4,1.1,35.9,0.6,1.6,38.5,1.0,3.9,25.9
192,Jabari Walker,POR,20,0.8,1.4,57.4,0.1,0.2,50.0,0.0,0.1,0.0,0.1,0.1,60.0,0.1,0.3,20.0,0.1,0.4,21.4
193,Jack White,DEN,25,0.3,0.5,57.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,50.0,0.0,0.2,0.0
194,Jaden Hardy,DAL,20,1.2,2.2,52.9,0.1,0.2,60.0,0.1,0.2,40.0,0.0,0.3,12.5,0.4,1.2,36.1,0.5,1.4,35.0
195,Jaden Ivey,DET,21,2.5,4.8,53.1,0.4,1.3,29.7,0.3,0.8,33.3,0.5,1.2,44.8,0.4,1.0,35.7,1.1,3.2,36.1
196,Jaden McDaniels,MIN,22,2.3,3.4,68.8,0.4,1.0,40.0,0.3,0.7,47.6,0.2,0.3,50.0,0.9,2.3,40.6,0.3,0.9,33.3
197,Jaden Springer,PHI,20,0.8,1.2,71.4,0.1,0.1,100,0.3,0.5,50.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
198,Jae Crowder,MIL,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100
199,Jae'Sean Tate,HOU,27,2.1,4.3,49.5,0.5,1.0,55.0,0.0,0.2,20.0,0.0,0.0,100,0.2,0.8,31.3,0.2,0.6,30.8
200,Jake LaRavia,MEM,21,0.3,0.6,50.0,0.1,0.2,60.0,0.0,0.0,100,0.0,0.0,0.0,0.3,0.8,41.7,0.4,1.2,28.9
201,Jakob Poeltl,TOR,27,3.7,5.0,73.9,1.1,2.2,49.1,0.5,1.2,46.7,0.0,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Jalen Brunson,NYK,26,2.3,4.1,55.0,2.2,4.4,50.0,1.2,2.6,46.1,0.8,1.6,48.9,1.0,2.0,49.6,1.0,2.8,35.0
203,Jalen Duren,DET,19,3.2,4.6,70.2,0.3,0.8,33.3,0.1,0.2,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Jalen Green,HOU,21,2.9,5.4,53.9,0.6,1.5,36.6,0.4,1.0,39.3,0.8,1.9,43.0,0.5,1.8,27.4,2.1,6.0,34.8
205,Jalen Johnson,ATL,21,1.3,2.1,65.5,0.2,0.5,41.4,0.1,0.1,75.0,0.1,0.2,27.3,0.2,0.8,23.8,0.2,0.7,35.1
206,Jalen McDaniels,PHI,25,2.0,3.3,60.3,0.4,1.0,38.3,0.2,0.5,41.9,0.1,0.2,38.5,0.5,1.5,34.4,0.6,1.9,31.6
207,Jalen Smith,IND,22,2.1,3.0,69.9,0.3,0.8,41.5,0.1,0.2,27.3,0.0,0.2,18.2,0.4,1.5,28.9,0.4,1.7,26.7
208,Jalen Suggs,ORL,21,1.4,2.5,57.3,0.2,0.4,40.0,0.2,0.6,36.4,0.3,0.6,45.5,0.4,1.0,42.9,0.8,2.7,29.2
209,Jalen Williams,OKC,21,3.1,4.6,67.8,0.5,1.1,40.3,0.3,0.6,44.1,0.1,0.4,33.3,0.4,1.0,36.8,0.5,1.8,29.6
210,Jamal Cain,MIA,23,1.4,2.0,67.9,0.3,0.6,57.1,0.1,0.2,33.3,0.0,0.0,0.0,0.2,0.8,18.2,0.0,0.1,0.0
211,Jamal Murray,DEN,26,2.3,3.9,59.9,0.5,1.4,34.8,0.7,1.6,46.7,1.1,2.4,46.4,0.9,2.1,43.0,1.6,4.4,36.9
212,Jamaree Bouyea,MIA,23,0.8,1.3,60.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,1.3,40.0
213,James Bouknight,CHA,22,0.7,1.2,56.3,0.1,0.5,15.4,0.1,0.4,33.3,0.0,0.1,33.3,0.1,0.7,11.8,0.5,1.8,28.9
214,James Harden,PHI,33,2.1,3.6,58.4,0.5,1.5,35.4,0.5,1.3,40.4,0.5,0.8,65.7,0.3,0.9,29.7,2.6,6.4,40.2
215,James Johnson,IND,36,0.5,1.0,50.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.6,28.6,0.2,0.4,50.0
216,James Wiseman,DET,21,2.3,2.9,78.3,0.5,1.0,48.0,0.1,0.6,14.3,0.2,0.3,57.1,0.0,0.2,25.0,0.0,0.1,0.0
217,Jared Rhoden,DET,23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
218,Jaren Jackson Jr.,MEM,23,3.4,5.2,64.4,0.9,2.0,46.4,0.1,0.4,25.0,0.0,0.0,100,0.7,1.7,40.3,0.8,2.6,32.1
219,Jarred Vanderbilt,LAL,23,2.6,3.7,69.6,0.3,0.9,36.7,0.1,0.2,23.1,0.0,0.0,50.0,0.3,1.0,34.5,0.0,0.1,0.0
220,Jarrett Allen,CLE,24,4.8,6.3,74.9,0.9,1.9,47.1,0.3,0.6,52.8,0.1,0.4,35.0,0.0,0.1,0.0,0.0,0.0,50.0
221,Jarrett Culver,ATL,24,1.3,2.4,54.5,0.1,0.1,100,0.1,0.3,50.0,0.1,0.4,33.3,0.3,0.9,28.6,0.0,0.8,0.0
222,Jason Preston,LAC,23,0.4,0.7,55.6,0.3,0.7,50.0,0.2,0.4,50.0,0.2,0.2,100,0.2,0.5,50.0,0.2,0.8,20.0
223,Javonte Green,CHI,29,1.6,2.1,75.9,0.1,0.4,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,27.8,0.3,0.6,50.0
224,Jaxson Hayes,NOP,22,1.4,1.9,69.7,0.3,0.6,50.0,0.0,0.0,0.0,0.0,0.0,100,0.1,0.4,13.3,0.0,0.3,9.1
225,Jaylen Brown,BOS,26,4.4,6.5,67.9,0.9,2.2,40.7,0.9,1.6,54.9,1.0,2.2,45.0,0.7,1.9,37.1,2.0,5.8,33.8
226,Jaylen Nowell,MIN,23,1.9,3.1,59.0,0.6,1.2,46.8,0.6,1.1,52.1,0.2,0.5,41.4,0.4,1.3,31.3,0.7,2.2,29.9
227,Jaylin Williams,OKC,20,0.7,1.3,50.0,0.1,0.4,36.4,0.2,0.6,40.0,0.1,0.1,66.7,0.5,1.0,50.0,0.6,1.1,48.4
228,Jayson Tatum,BOS,24,4.7,7.2,64.7,0.8,2.1,38.5,0.4,1.1,41.0,0.5,1.2,40.0,0.8,2.0,38.3,2.7,7.6,35.1
229,Jeff Dowtin Jr.,TOR,25,0.5,0.7,75.0,0.2,0.4,60.0,0.0,0.2,0.0,0.1,0.3,33.3,0.2,0.5,33.3,0.0,0.2,0.0
230,Jeff Green,DEN,36,1.9,2.8,68.5,0.4,0.9,45.9,0.2,0.5,44.4,0.1,0.2,50.0,0.3,0.9,28.6,0.2,0.8,19.4
231,Jerami Grant,POR,28,3.4,5.2,65.4,0.3,1.1,31.6,0.4,1.0,40.7,0.5,1.3,42.0,1.2,3.0,40.1,1.2,3.1,39.5
232,Jeremiah Robinson-Earl,OKC,22,1.9,3.2,58.9,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.1,25.0,0.5,1.5,31.1,0.5,1.4,39.0
233,Jeremy Sochan,SAS,19,2.5,4.4,56.5,0.6,1.4,41.8,0.3,0.7,48.6,0.1,0.5,31.8,0.3,1.2,27.6,0.3,1.1,26.9
