,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
401,Precious Achiuwa,TOR,35,19,16,23.6,10.5,2.0,49.1,1.6,25.6,0.3,23.8,4.0,67.4,0.1,40.0,0.9,51.9,52.1
402,Quentin Grimes,NYK,49,27,22,30.2,10.1,1.7,51.7,5.0,35.9,0.6,23.8,0.6,73.7,0.0,0.0,0.4,66.7,55.9
403,Quenton Jackson,WAS,3,2,1,2.6,1.7,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3
404,R.J. Hampton,ORL,26,7,19,13.9,5.7,2.1,51.2,1.6,35.9,0.8,29.0,0.5,80.0,0.0,0.0,0.2,66.7,51.8
405,RJ Barrett,NYK,53,28,25,34.5,19.7,8.2,46.4,5.0,33.6,1.2,23.1,1.7,64.5,0.5,37.9,1.0,59.0,48.2
406,Raul Neto,CLE,39,26,13,10.3,3.1,1.3,61.8,0.7,31.0,0.5,52.9,0.2,80.0,0.0,0.0,0.1,100.0,57.7
407,Reggie Bullock,DAL,58,30,28,30.4,6.8,0.2,36.4,5.3,37.4,0.3,22.2,0.5,100.0,0.0,0.0,0.2,83.3,55.0
408,Reggie Jackson,DEN,52,28,24,25.7,10.9,3.9,48.0,3.9,42.0,2.6,35.6,0.2,31.3,0.0,0.0,0.2,57.1,49.3
409,Richaun Holmes,SAC,33,16,17,9.1,3.3,0.2,50.0,0.6,69.2,0.0,0.0,1.8,64.3,0.2,75.0,1.0,76.2,70.3
410,Ricky Rubio,CLE,14,10,4,16.8,5.7,1.5,38.1,2.1,33.3,2.1,38.2,0.0,0.0,0.0,0.0,0.0,0.0,41.1
411,Robert Covington,LAC,36,15,21,16.2,5.5,0.7,38.9,2.8,34.0,0.2,27.3,1.1,58.8,0.0,0.0,0.0,0.0,50.9
412,Robert Williams III,BOS,23,15,8,23.6,8.3,0.1,0.0,0.2,50.0,0.0,0.0,7.3,75.2,0.2,66.7,0.5,55.6,73.9
