,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
172,Herbert Jones,NOP,45,19,26,28.6,9.4,41.1,22.6,1.4,2.09,1.04,0.229,0.7,0.1,1.8,0.394,1.0,0.838
173,Immanuel Quickley,NYK,61,35,26,27.8,12.7,47.3,23.8,3.4,4.32,3.7,0.269,0.3,0.0,0.4,0.353,0.0,0.556
174,Isaac Okoro,CLE,63,38,25,21.2,6.3,20.1,12.7,0.7,1.95,1.05,0.311,0.3,0.0,1.1,0.632,2.0,0.836
175,Isaiah Hartenstein,NYK,62,35,27,19.7,5.2,29.8,14.2,0.7,1.35,0.24,0.173,1.8,0.2,5.3,0.409,0.75,0.696
176,Isaiah Jackson,IND,45,17,28,15.3,6.8,21.4,13.7,0.5,1.35,0.42,0.317,1.7,0.3,5.0,0.538,0.643,0.955
177,Isaiah Joe,OKC,51,25,26,16.2,8.7,20.9,13.2,0.7,1.95,1.3,0.415,0.3,0.0,0.4,0.714,0.0,0.789
178,Isaiah Livers,DET,38,9,29,21.3,5.7,23.8,14.3,0.7,1.84,0.82,0.239,0.2,0.0,0.3,0.75,2.0,0.769
179,Isaiah Mobley,CLE,8,5,3,3.3,1.1,5.1,2.1,0.2,2.31,1.2,0.22,0.0,0.1,0.1,0.0,2.0,2.0
180,Isaiah Roby,SAS,41,9,32,11.3,4.1,18.8,10.3,0.6,1.99,0.99,0.218,0.5,0.2,0.9,0.619,0.714,0.811
181,Isaiah Stewart,DET,49,12,37,28.3,11.4,39.2,22.2,1.1,1.7,0.71,0.291,1.5,0.8,4.7,0.784,0.421,0.805
182,Isaiah Todd,WAS,4,2,2,3.1,0.5,4.3,2.5,0.1,1.81,0.59,0.118,0.0,0.0,0.0,0.0,0.0,0.0
183,Ish Smith,DEN,31,20,11,10.2,2.8,24.0,9.1,2.0,5.0,4.86,0.117,0.2,0.0,0.3,0.0,0.0,0.444
184,Ish Wainright,PHX,43,23,20,15.5,4.4,15.8,10.5,0.4,1.53,0.74,0.278,0.0,0.0,0.7,0.0,0.0,0.733
185,Ivica Zubac,LAC,59,32,27,29.4,10.2,42.7,21.1,1.1,1.51,0.46,0.239,3.9,1.8,8.9,0.509,0.826,0.903
186,JD Davison,BOS,6,5,1,2.3,0.7,3.2,1.8,0.2,3.28,2.95,0.211,0.2,0.0,0.0,2.0,0.0,0.0
187,JT Thor,CHA,49,14,35,11.0,2.5,14.0,7.1,0.4,1.5,0.52,0.176,0.2,0.0,0.8,0.182,0.0,0.846
188,Ja Morant,MEM,50,32,18,32.6,27.0,79.4,27.2,7.8,5.9,5.11,0.34,0.5,0.1,1.5,0.458,0.0,0.904
189,JaMychal Green,GSW,40,20,20,14.7,6.4,23.6,14.8,0.5,1.28,0.34,0.271,1.2,0.5,3.2,0.426,0.278,0.953
190,JaVale McGee,DAL,36,17,19,8.1,4.1,11.6,6.3,0.3,1.49,0.46,0.351,1.1,0.4,3.1,0.658,0.571,0.903
191,Jabari Smith Jr.,HOU,56,12,44,30.0,12.0,45.8,22.9,1.5,1.92,0.99,0.263,1.3,0.8,2.3,0.694,0.6,1.032
192,Jabari Walker,POR,39,19,20,9.0,2.8,10.4,5.8,0.3,1.77,0.75,0.271,0.4,0.1,1.4,1.133,0.4,0.889
193,Jack White,DEN,15,12,3,3.2,1.3,4.7,2.6,0.1,1.75,0.77,0.268,0.1,0.0,0.6,0.0,0.0,0.444
194,Jaden Hardy,DAL,32,16,16,11.6,6.4,18.4,9.5,1.1,3.68,3.35,0.349,0.1,0.0,0.2,0.0,0.0,0.667
195,Jaden Ivey,DET,56,15,41,30.1,15.3,54.6,21.4,4.4,4.82,4.45,0.28,0.8,0.1,1.6,0.682,0.0,0.713
196,Jaden McDaniels,MIN,59,30,29,30.5,11.4,38.9,22.9,1.2,1.85,1.15,0.294,0.7,0.2,2.6,0.55,0.462,0.856
197,Jaden Springer,PHI,7,7,0,3.7,2.4,4.0,2.4,0.3,4.41,3.29,0.607,0.1,0.0,0.7,0.0,0.0,1.6
198,Jae Crowder,MIL,1,1,0,16.0,9.0,25.0,11.0,0.6,1.36,0.32,0.36,1.0,0.0,0.0,0.0,0.0,0.0
199,Jae'Sean Tate,HOU,21,3,18,21.4,8.0,40.7,21.2,2.4,3.52,2.61,0.196,0.6,1.3,2.5,0.333,0.571,0.692
200,Jake LaRavia,MEM,31,21,10,12.4,3.1,14.9,8.5,0.4,1.75,0.87,0.207,0.1,0.1,0.6,1.25,1.0,0.389
201,Jakob Poeltl,TOR,50,15,35,26.2,12.4,53.9,31.5,1.5,1.69,0.56,0.23,6.8,2.1,8.2,0.457,0.663,0.841
202,Jalen Brunson,NYK,58,33,25,35.1,23.7,84.7,29.7,8.5,6.03,5.67,0.28,0.2,1.0,0.3,0.4,0.571,0.5
203,Jalen Duren,DET,51,14,37,25.2,8.5,35.0,16.1,0.9,1.57,0.48,0.242,1.9,0.8,7.6,0.505,0.55,0.91
204,Jalen Green,HOU,54,11,43,33.9,21.8,65.9,34.5,4.8,4.38,3.87,0.33,0.4,0.0,0.9,0.455,0.0,1.02
205,Jalen Johnson,ATL,56,28,28,14.5,5.3,21.0,8.4,0.7,2.01,0.93,0.25,0.5,0.1,1.3,0.69,0.2,0.845
206,Jalen McDaniels,PHI,61,19,42,25.9,10.1,39.8,21.4,1.4,2.08,1.24,0.255,0.3,0.1,1.6,0.762,0.0,1.202
207,Jalen Smith,IND,52,25,27,18.2,9.0,29.7,17.5,0.7,1.39,0.45,0.305,1.3,0.4,3.7,0.738,0.524,0.974
208,Jalen Suggs,ORL,36,14,22,23.0,9.4,45.7,18.4,3.0,3.89,3.23,0.205,0.2,0.1,1.3,0.875,1.0,0.708
209,Jalen Williams,OKC,55,26,29,29.2,12.3,43.3,21.8,2.3,3.12,2.61,0.284,0.8,0.0,2.2,1.023,0.0,1.025
210,Jamal Cain,MIA,14,8,6,13.3,4.7,12.9,7.5,0.3,1.4,0.59,0.365,0.1,0.0,2.6,0.0,0.0,1.135
211,Jamal Murray,DEN,47,33,14,32.4,19.9,70.9,34.3,5.6,4.75,4.13,0.28,1.1,0.6,1.3,0.615,0.667,0.823
212,Jamaree Bouyea,MIA,4,2,2,16.3,3.8,28.0,11.3,2.0,4.38,3.66,0.134,0.0,0.0,0.0,0.0,0.0,0.0
213,James Bouknight,CHA,26,5,21,13.6,4.3,18.1,11.5,0.9,2.89,2.13,0.236,0.1,0.0,0.2,1.0,0.0,0.333
214,James Harden,PHI,43,29,14,36.6,21.6,93.3,34.4,8.6,5.51,4.75,0.232,0.3,0.4,0.6,0.364,0.882,0.48
215,James Johnson,IND,12,5,7,8.1,2.2,10.8,5.4,0.5,2.89,2.57,0.202,0.3,0.1,0.4,0.0,0.0,0.6
216,James Wiseman,DET,24,9,15,13.7,7.3,24.0,11.3,0.5,1.35,0.3,0.302,1.0,0.8,3.7,1.12,0.7,1.182
217,Jared Rhoden,DET,1,0,1,12.0,2.0,12.0,5.0,0.7,3.25,2.75,0.167,0.0,0.0,0.0,0.0,0.0,0.0
218,Jaren Jackson Jr.,MEM,42,26,16,27.2,16.7,38.2,22.1,1.2,1.91,0.94,0.438,1.1,2.4,3.8,0.756,0.79,1.193
219,Jarred Vanderbilt,LAL,56,28,28,23.9,8.2,33.0,18.8,1.2,2.16,1.25,0.249,2.1,0.0,5.4,0.539,0.0,0.85
220,Jarrett Allen,CLE,56,35,21,33.2,14.7,43.9,26.1,1.1,1.54,0.32,0.334,5.6,1.0,11.6,0.553,0.667,0.98
221,Jarrett Culver,ATL,10,5,5,13.7,4.4,20.5,10.9,0.7,2.12,1.14,0.215,0.1,0.0,1.2,0.0,0.0,1.0
222,Jason Preston,LAC,13,3,10,9.4,3.2,23.7,7.7,1.8,4.64,4.29,0.133,0.1,0.0,0.2,2.0,0.0,1.0
223,Javonte Green,CHI,28,11,17,16.0,5.9,23.7,11.9,0.5,1.24,0.43,0.247,0.5,0.0,1.8,1.071,0.0,1.294
224,Jaxson Hayes,NOP,34,15,19,13.0,4.8,15.0,9.1,0.3,1.37,0.52,0.322,0.8,0.1,2.3,0.926,0.0,1.013
225,Jaylen Brown,BOS,50,35,15,35.7,26.5,63.8,34.9,3.6,3.43,2.71,0.416,1.5,0.6,2.3,0.811,0.667,0.957
226,Jaylen Nowell,MIN,62,31,31,19.5,10.9,33.7,18.7,1.8,3.28,2.95,0.324,0.3,0.0,0.7,1.438,0.0,1.044
227,Jaylin Williams,OKC,27,12,15,16.5,5.7,33.1,18.3,0.8,1.44,0.39,0.171,1.2,0.0,2.4,0.394,0.0,0.523
228,Jayson Tatum,BOS,57,42,15,37.4,30.4,75.3,39.7,4.8,3.86,2.83,0.404,2.8,1.3,3.2,0.868,1.013,0.939
229,Jeff Dowtin Jr.,TOR,17,12,5,8.3,2.2,13.3,6.4,0.9,3.91,3.59,0.164,0.2,0.0,0.4,1.0,0.0,0.857
