,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
488,Vince Williams Jr.,MEM,9,5.4,0.3,0.1,1.0,11.1,0.1,1.0,11.1,16.7
489,Vit Krejci,ATL,20,5.8,0.5,0.2,0.7,21.4,0.2,0.7,21.4,32.1
490,Vlatko Cancar,DEN,42,15.5,2.6,0.9,2.0,45.1,0.8,1.8,45.5,66.5
491,Walker Kessler,UTA,55,21.1,0.0,0.0,0.0,50.0,-,-,-,50.0
492,Wendell Carter Jr.,ORL,37,30.1,4.0,1.4,3.8,36.6,1.2,3.3,36.1,52.1
493,Wendell Moore Jr.,MIN,24,5.8,0.1,0.0,0.6,7.1,0.0,0.6,7.1,10.7
494,Wenyen Gabriel,LAL,44,15.7,0.6,0.2,0.8,30.3,0.2,0.6,29.6,42.4
495,Wesley Matthews,MIL,37,15.6,2.1,0.7,2.2,32.1,0.7,2.2,32.1,48.1
496,Will Barton,WAS,40,19.6,2.7,0.9,2.1,44.0,0.9,1.9,45.5,64.9
497,Willy Hernangomez,NOP,28,12.7,0.2,0.1,0.4,16.7,0.0,0.3,11.1,20.8
498,Xavier Tillman,MEM,37,14.8,0.5,0.2,0.5,38.9,0.1,0.2,33.3,47.2
499,Yuta Watanabe,BKN,42,18.3,3.7,1.3,2.5,49.5,1.2,2.5,49.0,73.4
500,Zach Collins,SAS,46,20.7,2.2,0.8,2.1,38.8,0.6,1.5,37.1,52.0
501,Zach LaVine,CHI,52,35.9,4.6,1.6,3.5,44.3,1.5,3.4,44.6,65.8
502,Zeke Nnaji,DEN,44,13.3,0.9,0.3,1.0,30.4,0.3,1.0,29.5,44.6
503,Ziaire Williams,MEM,28,17.4,1.6,0.5,2.5,21.4,0.5,2.4,20.9,31.4
504,Zion Williamson,NOP,29,33.0,0.6,0.2,0.5,42.9,0.2,0.5,42.9,64.3
