,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
360,Moses Moody,GSW,40,20,20,14.6,16.1,0.3,0.1,0.1,75.0,0.0,0.0,0.0,0.2,80.0,0.1,30.0,0.0,0.0,0.1,30.0,0.0,0.0
361,Moussa Diabate,LAC,15,7,8,10.9,9.3,0.7,0.1,0.3,25.0,0.0,0.0,0.0,0.1,18.2,0.5,63.6,0.0,0.0,0.0,0.0,0.0,0.0
362,Myles Turner,IND,47,22,25,29.9,44.1,3.4,0.9,1.8,51.8,0.4,0.5,73.9,2.3,69.6,1.1,33.5,0.2,15.1,0.1,3.2,0.3,7.6
363,Naji Marshall,NOP,51,27,24,25.1,41.4,0.4,0.1,0.2,75.0,0.1,0.1,100.0,0.3,84.2,0.2,47.4,0.1,66.7,0.0,0.0,0.0,10.5
364,Nassir Little,POR,34,18,16,16.2,19.1,0.2,0.1,0.1,66.7,0.1,0.1,50.0,0.2,100.0,0.0,14.3,0.0,100.0,0.0,14.3,0.1,28.6
365,Nathan Knight,MIN,32,16,16,8.3,12.0,0.5,0.1,0.2,80.0,0.0,0.1,50.0,0.3,73.3,0.2,46.7,0.1,28.6,0.0,6.7,0.0,6.7
366,Naz Reid,MIN,50,24,26,17.9,34.7,1.8,0.5,0.9,60.5,0.2,0.3,78.6,1.3,71.4,0.7,40.7,0.1,10.8,0.1,3.3,0.1,7.7
367,Neemias Queta,SAC,4,1,3,6.1,7.8,0.8,0.3,0.3,100.0,0.0,0.0,0.0,0.5,66.7,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0
368,Nerlens Noel,DET,14,2,12,10.8,14.0,1.4,0.1,0.7,10.0,0.0,0.0,0.0,0.1,10.5,0.6,42.1,0.1,12.5,0.1,5.3,0.0,0.0
369,Nic Claxton,BKN,51,29,22,29.7,39.9,3.7,0.7,1.2,62.3,0.2,0.4,44.4,1.6,44.4,2.1,57.1,0.3,14.8,0.2,4.2,0.2,4.8
370,Nick Richards,CHA,41,10,31,17.0,21.8,1.5,0.4,0.7,58.6,0.2,0.3,61.5,1.1,72.6,0.5,32.3,0.0,10.0,0.0,3.2,0.2,11.3
371,Nickeil Alexander-Walker,MIN,36,18,18,14.7,30.4,0.2,0.0,0.1,33.3,0.1,0.1,100.0,0.1,66.7,0.1,33.3,0.0,0.0,0.0,0.0,0.0,16.7
372,Nicolas Batum,LAC,55,31,24,21.9,29.1,0.5,0.1,0.1,100.0,0.0,0.1,50.0,0.1,29.6,0.4,77.8,0.0,0.0,0.0,0.0,0.0,7.4
373,Nikola Jokic,DEN,47,35,12,33.5,99.5,9.7,2.3,3.4,68.4,0.5,0.6,85.7,5.3,54.9,5.3,54.9,1.5,27.5,0.4,4.2,0.3,3.1
374,Nikola Jovic,MIA,15,7,8,13.6,23.2,1.3,0.4,0.5,85.7,0.3,0.3,100.0,1.2,94.7,0.6,47.4,0.1,11.1,0.0,0.0,0.1,10.5
375,Nikola Vucevic,CHI,53,25,28,33.8,67.2,3.9,1.1,1.6,65.5,0.1,0.2,70.0,2.3,58.4,1.9,49.3,0.4,19.4,0.3,6.7,0.1,1.9
376,Noah Vonleh,BOS,23,17,6,7.5,9.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,71.4,0.1,40.0,0.0,0.0,0.0,0.0
377,Norman Powell,LAC,48,26,22,25.9,36.2,0.4,0.0,0.2,22.2,0.0,0.0,100.0,0.1,31.6,0.2,47.4,0.1,33.3,0.0,0.0,0.0,5.3
378,O.G. Anunoby,TOR,45,21,24,35.8,49.1,0.9,0.3,0.4,66.7,0.0,0.0,100.0,0.6,65.0,0.4,45.0,0.1,22.2,0.0,5.0,0.0,2.5
379,Obi Toppin,NYK,41,20,21,15.1,25.3,0.3,0.1,0.1,66.7,0.1,0.1,75.0,0.3,78.6,0.1,35.7,0.0,20.0,0.0,7.1,0.0,14.3
380,Ochai Agbaji,UTA,33,19,14,13.7,12.5,0.2,0.1,0.1,100.0,0.0,0.1,0.0,0.2,75.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,12.5
381,Onyeka Okongwu,ATL,53,27,26,24.3,30.8,2.9,0.9,1.5,61.3,0.3,0.5,69.2,2.2,75.5,0.9,32.3,0.1,12.0,0.1,4.5,0.2,8.4
