,PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
461,Thomas Bryant,DEN,45,25,20,20.4,0.3,0.1,0.2,75.0,0.0,0.1,50.0,0.3,100.0,0.0,13.3,0.0,0.0,0.1,20.0,0.0,13.3
462,Tim Hardaway Jr.,DAL,55,32,23,30.2,2.9,0.6,1.8,34.7,0.4,0.5,66.7,1.7,57.5,0.7,23.1,0.1,4.4,0.1,4.4,0.3,9.4
463,Tobias Harris,PHI,54,36,18,33.6,6.4,1.5,3.1,49.1,0.4,0.5,88.9,3.6,55.9,2.6,39.8,0.6,8.6,0.4,5.8,0.3,4.0
464,Tony Bradley,CHI,11,4,7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Torrey Craig,PHX,57,31,26,25.9,2.0,0.3,0.8,35.4,0.1,0.1,62.5,0.7,35.4,0.8,38.9,0.3,13.3,0.2,12.4,0.1,3.5
466,Trae Young,ATL,52,27,25,35.4,18.4,4.0,8.6,47.0,2.7,3.1,87.0,11.1,60.0,6.8,37.0,2.4,13.1,1.1,5.7,1.6,8.4
467,Tre Jones,SAS,51,14,37,29.3,11.4,2.6,6.0,42.7,0.9,1.0,92.3,6.2,54.6,4.0,35.4,0.9,8.1,0.5,4.7,0.5,4.5
468,Tre Mann,OKC,52,25,27,18.3,6.1,1.1,2.5,43.4,0.3,0.4,72.7,2.5,41.5,2.9,47.5,0.5,8.9,0.4,6.0,0.2,3.5
469,Trendon Watford,POR,43,21,22,16.3,2.8,0.8,1.3,64.8,0.6,0.7,75.0,2.3,82.5,0.9,32.5,0.2,7.5,0.2,5.8,0.4,13.3
470,Trent Forrest,ATL,18,6,12,13.3,4.5,0.9,1.9,48.6,0.0,0.0,0.0,1.9,43.2,2.3,50.6,0.7,16.0,0.2,3.7,0.0,0.0
471,Trevelin Queen,IND,7,2,5,10.0,1.1,0.1,0.4,33.3,0.0,0.0,0.0,0.3,25.0,0.7,62.5,0.0,0.0,0.0,0.0,0.0,0.0
472,Trevor Hudgins,HOU,4,0,4,6.7,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0
473,Trevor Keels,NYK,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Trey Lyles,SAC,52,30,22,16.0,2.2,0.5,1.0,56.0,0.4,0.5,83.3,1.5,69.6,0.8,34.8,0.3,12.2,0.2,8.7,0.2,10.4
475,Trey Murphy III,NOP,57,27,30,29.2,3.1,0.7,1.4,49.4,0.5,0.6,90.6,1.9,61.9,1.2,37.5,0.4,11.4,0.2,6.3,0.3,9.1
476,Troy Brown Jr.,LAL,54,25,29,24.0,1.3,0.4,0.8,45.2,0.0,0.0,100.0,0.8,61.8,0.3,26.5,0.1,5.9,0.1,10.3,0.0,1.5
477,Ty Jerome,GSW,37,15,22,18.2,5.6,1.4,2.6,52.6,0.5,0.6,87.0,3.4,60.3,2.5,43.5,0.6,10.0,0.2,3.8,0.3,5.7
478,TyTy Washington Jr.,HOU,23,3,20,12.7,3.0,1.0,1.7,57.5,0.1,0.2,50.0,2.1,70.0,1.1,35.7,0.2,7.1,0.1,4.3,0.1,2.9
479,Tyler Dorsey,DAL,3,2,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,Tyler Herro,MIA,45,25,20,35.4,11.2,2.8,5.3,52.3,1.2,1.4,83.9,6.9,61.4,4.3,38.8,1.0,8.9,0.7,6.0,0.7,6.2
481,Tyrese Haliburton,IND,49,24,25,33.6,14.8,2.9,5.5,52.4,1.1,1.3,84.6,7.3,49.2,7.6,51.7,2.0,13.7,0.7,4.4,0.7,4.7
482,Tyrese Martin,ATL,13,8,5,3.5,0.5,0.0,0.2,0.0,0.2,0.2,100.0,0.2,33.3,0.2,33.3,0.0,0.0,0.0,0.0,0.1,16.7
483,Tyrese Maxey,PHI,39,26,13,32.9,9.7,2.7,5.7,47.5,1.5,1.8,80.6,7.0,72.1,2.6,26.6,0.7,7.4,0.3,3.4,0.9,9.5
484,Tyus Jones,MEM,58,35,23,23.0,4.9,1.5,3.1,48.1,0.4,0.4,80.8,3.4,70.2,1.3,27.7,0.3,6.0,0.1,2.8,0.2,4.6
485,Udoka Azubuike,UTA,24,13,11,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,Udonis Haslem,MIA,6,3,3,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Usman Garuba,HOU,51,12,39,13.6,0.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,14.3,0.0,28.6,0.0,0.0,0.0,14.3,0.0,14.3
488,Vernon Carey Jr.,WAS,11,8,3,2.6,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.0
