,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
465,Trent Forrest,ATL,18,13.3,6,12,0.3,0.1,1.3,1.1,1.3,79.2
466,Trevelin Queen,IND,7,10.0,2,5,0.3,0.7,1.3,0.4,1.1,37.5
467,Trevor Hudgins,HOU,2,4.8,0,2,0.0,0.0,0.0,0.0,0.0,0.0
468,Trevor Keels,NYK,1,1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0
469,Trey Lyles,SAC,48,15.9,28,20,0.4,0.5,2.7,1.3,2.0,65.6
470,Trey Murphy III,NOP,53,29.4,26,27,1.0,0.5,2.9,2.0,2.9,69.9
471,Troy Brown Jr.,LAL,49,24.1,22,27,0.8,0.2,3.3,2.0,2.6,77.6
472,Ty Jerome,GSW,33,17.8,14,19,0.5,0.2,1.5,1.2,1.5,79.2
473,TyTy Washington Jr.,HOU,20,11.5,3,17,0.4,0.1,1.1,0.6,0.8,75.0
474,Tyler Dorsey,DAL,3,2.8,2,1,0.0,0.0,0.3,0.3,0.3,100.0
475,Tyler Herro,MIA,43,35.1,23,20,0.9,0.3,5.3,2.1,3.1,69.7
476,Tyrese Haliburton,IND,44,33.5,23,21,1.7,0.4,3.2,1.2,1.7,69.3
477,Tyrese Martin,ATL,12,3.6,7,5,0.1,0.0,0.3,0.3,0.3,100.0
478,Tyrese Maxey,PHI,34,32.8,21,13,0.8,0.1,2.4,1.0,1.4,74.5
479,Tyus Jones,MEM,54,23.5,33,21,1.1,0.1,1.9,0.6,0.7,83.3
480,Udoka Azubuike,UTA,20,4.7,11,9,0.1,0.2,1.2,0.2,0.5,40.0
481,Udonis Haslem,MIA,6,7.9,3,3,0.2,0.2,0.7,0.3,0.8,40.0
482,Usman Garuba,HOU,48,13.7,12,36,0.6,0.5,2.9,1.9,2.8,65.4
483,Vernon Carey Jr.,WAS,9,2.6,6,3,0.2,0.2,0.6,0.1,0.2,50.0
484,Victor Oladipo,MIA,26,28.4,17,9,1.7,0.2,3.0,1.7,2.3,73.3
485,Vince Williams Jr.,MEM,9,5.4,5,4,0.4,0.1,0.6,0.3,0.6,60.0
486,Vit Krejci,ATL,20,5.8,10,10,0.2,0.1,0.6,0.2,0.5,33.3
487,Vlatko Cancar,DEN,40,15.4,27,13,0.4,0.2,1.9,1.1,1.7,68.2
488,Walker Kessler,UTA,53,20.6,25,28,0.4,2.1,4.6,3.4,6.4,53.3
489,Wendell Carter Jr.,ORL,35,30.0,14,21,0.3,0.6,6.7,3.7,5.9,62.4
490,Wendell Moore Jr.,MIN,23,6.0,13,10,0.2,0.2,0.6,0.5,0.8,61.1
491,Wenyen Gabriel,LAL,42,15.4,20,22,0.4,0.6,2.3,1.9,3.6,53.6
492,Wesley Matthews,MIL,35,15.3,25,10,0.5,0.3,1.3,0.5,0.9,53.1
493,Will Barton,WAS,40,19.6,18,22,0.4,0.3,2.5,1.2,1.7,70.1
494,Willy Hernangomez,NOP,28,12.7,16,12,0.3,0.4,3.1,1.7,2.7,61.8
495,Xavier Tillman,MEM,35,14.2,22,13,0.8,0.3,2.1,1.3,2.1,65.3
496,Yuta Watanabe,BKN,40,18.5,22,18,0.5,0.4,2.1,1.6,2.5,62.4
497,Zach Collins,SAS,43,20.5,13,30,0.4,0.7,3.8,2.9,5.6,51.9
498,Zach LaVine,CHI,49,35.8,24,25,1.0,0.2,4.2,1.6,2.1,77.7
499,Zeke Nnaji,DEN,43,13.5,29,14,0.3,0.4,1.1,1.4,2.2,63.4
500,Ziaire Williams,MEM,27,17.9,15,12,0.4,0.2,2.1,1.2,1.9,64.0
501,Zion Williamson,NOP,29,33.0,17,12,1.1,0.6,5.0,1.9,2.7,71.8
