,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
27,Austin Rivers,MIN,45,23,22,21.1,8024.3,1.52,0.77,0.75,4.02,4.17,3.89
28,Ayo Dosunmu,CHI,54,25,29,28.1,11631.5,2.2,1.13,1.07,4.43,4.72,4.16
29,Bam Adebayo,MIA,53,29,24,35.3,13237.1,2.51,1.35,1.16,3.98,4.26,3.7
30,Ben Simmons,BKN,41,23,18,26.4,9780.1,1.85,0.97,0.88,3.94,4.32,3.58
31,Bennedict Mathurin,IND,59,25,34,28.3,11291.6,2.14,1.13,1.01,4.21,4.54,3.89
32,Bismack Biyombo,PHX,45,25,20,14.0,5387.7,1.02,0.54,0.48,4.08,4.26,3.91
33,Blake Griffin,BOS,25,16,9,13.8,4945.6,0.94,0.51,0.43,3.83,4.02,3.66
34,Blake Wesley,SAS,13,2,11,13.3,5799.1,1.1,0.6,0.49,4.59,5.21,4.01
35,Boban Marjanovic,HOU,18,1,17,4.2,1508.3,0.29,0.14,0.14,3.68,3.98,3.41
36,Bobby Portis,MIL,47,30,17,26.8,10761.7,2.04,1.12,0.92,4.28,4.58,3.97
37,Bogdan Bogdanovic,ATL,33,16,17,30.0,11941.6,2.26,1.25,1.01,4.21,4.69,3.73
38,Bojan Bogdanovic,DET,54,15,39,32.0,12368.8,2.34,1.29,1.05,4.11,4.47,3.74
39,Bol Bol,ORL,54,21,33,23.2,9078.5,1.72,0.89,0.83,4.16,4.34,3.98
40,Bones Hyland,LAC,43,29,14,19.4,7582.7,1.44,0.79,0.64,4.14,4.46,3.78
41,Bradley Beal,WAS,35,19,16,32.8,12641.7,2.39,1.35,1.04,4.09,4.47,3.68
42,Brandon Boston Jr.,LAC,21,8,13,11.8,4740.6,0.9,0.48,0.42,4.23,4.48,3.94
43,Brandon Clarke,MEM,50,28,22,19.8,8238.3,1.56,0.82,0.74,4.37,4.69,4.06
44,Brandon Ingram,NOP,23,12,11,32.1,11695.0,2.21,1.22,1.0,3.85,4.27,3.44
45,Braxton Key,DET,3,0,3,3.0,1299.0,0.25,0.11,0.13,4.19,4.91,3.77
46,Brook Lopez,MIL,56,39,17,30.3,11018.9,2.09,1.11,0.97,3.89,4.14,3.63
47,Bruce Brown,DEN,57,40,17,28.8,10973.2,2.08,1.13,0.95,4.04,4.37,3.71
48,Bruno Fernando,ATL,31,9,22,11.7,4501.9,0.85,0.47,0.38,4.06,4.4,3.7
49,Bryce McGowens,CHA,25,7,18,14.3,5736.3,1.09,0.57,0.52,4.24,4.59,3.92
50,Bryn Forbes,MIN,25,9,16,10.7,4362.0,0.83,0.44,0.39,4.31,4.75,3.87
51,Buddy Boeheim,DET,1,0,1,0.9,370.0,0.07,0.03,0.04,5.99,0.0,0.0
52,Buddy Hield,IND,59,25,34,32.1,13526.9,2.56,1.4,1.16,4.48,5.02,3.97
53,CJ McCollum,NOP,51,26,25,35.0,13951.5,2.64,1.48,1.16,4.24,4.85,3.64
54,Cade Cunningham,DET,12,3,9,33.4,13146.8,2.49,1.39,1.1,4.18,4.67,3.67
55,Caleb Houstan,ORL,34,12,22,16.1,6663.7,1.26,0.68,0.58,4.36,4.65,4.07
56,Caleb Martin,MIA,48,26,22,30.3,13032.9,2.47,1.34,1.13,4.58,4.92,4.22
57,Cam Reddish,POR,23,10,13,22.1,8887.5,1.68,0.85,0.83,4.26,4.37,4.15
58,Cam Thomas,BKN,40,24,16,16.4,6411.1,1.21,0.67,0.54,4.18,4.56,3.79
59,Cameron Johnson,BKN,19,13,6,25.5,10188.0,1.93,1.05,0.88,4.24,4.66,3.84
60,Cameron Payne,PHX,28,15,13,24.0,9253.5,1.75,0.98,0.77,4.1,4.61,3.6
61,Caris LeVert,CLE,54,33,21,30.5,11803.1,2.24,1.23,1.01,4.09,4.34,3.83
62,Cedi Osman,CLE,58,37,21,21.0,8171.0,1.55,0.83,0.72,4.1,4.26,3.94
63,Charles Bassey,SAS,25,5,20,13.6,5411.5,1.02,0.54,0.48,4.16,4.51,3.82
64,Chima Moneke,SAC,2,1,1,4.0,1658.0,0.31,0.16,0.15,4.23,4.64,3.88
65,Chimezie Metu,SAC,44,25,19,10.8,4398.5,0.83,0.43,0.41,4.25,4.59,3.93
66,Chris Boucher,TOR,53,26,27,20.8,8362.0,1.58,0.84,0.75,4.23,4.44,4.02
67,Chris Duarte,IND,35,13,22,19.2,8238.5,1.56,0.82,0.74,4.53,4.9,4.18
68,Chris Paul,PHX,38,20,18,31.9,10655.3,2.02,1.13,0.89,3.54,3.91,3.16
69,Chris Silva,DAL,1,1,0,3.0,1536.0,0.29,0.15,0.14,5.07,3.47,3.29
70,Christian Braun,DEN,53,37,16,15.2,6260.2,1.19,0.63,0.55,4.34,4.54,4.16
71,Christian Koloko,TOR,45,21,24,14.6,6013.0,1.14,0.59,0.55,4.35,4.55,4.15
72,Christian Wood,DAL,47,26,21,27.8,10135.0,1.92,1.02,0.9,3.87,4.01,3.74
73,Chuma Okeke,ORL,19,5,14,21.3,8654.2,1.64,0.86,0.78,4.3,4.43,4.2
74,Clint Capela,ATL,42,23,19,26.9,10238.7,1.94,1.01,0.93,4.04,4.23,3.86
75,Coby White,CHI,48,22,26,21.8,8407.2,1.59,0.82,0.77,4.08,4.34,3.85
76,Cody Martin,CHA,7,2,5,19.1,8315.4,1.57,0.84,0.73,4.57,4.86,4.28
77,Cole Anthony,ORL,39,18,21,25.1,10364.1,1.96,1.06,0.9,4.37,4.72,4.02
